hhid,hhsize,familysize1,familysize2,familysize3,familysize4,familysize5,s1q2,s1q5,s6q1,s6q2,s6q3,s6q4,s6q5,s6q6,s6q7,s6q8,s6q9,s6q11,s6q13,s6q14,s7q1,s7q2,s7q3,s7q4,s7q5,s7q6,s7q7,s7q8,s7q9,s7q10,s7q11,s7q12,s7q13,s7q14,s7q15,s7q16,s7q17,s7q18,s7q19,s7q20,s8q1,s8q2,s8q3,s8q4,s8q4_1,s8q4_2,s8q4_3,s8q5,s8q6,s9q1,s10q1,s10q2,s10q3,s10q4,s10q5,s10q6,s10q7,s10q8,s10q9,s11q1,s11q1_a,s11q2,s11q2_a,s11q3,s11q3_a,s11q4,s11q4_a,s11q5,s11q5_a,s11q6,s11q6_a,s11q7,s11q7_a,s11q8,s11q8_a,s11q9,s11q9_a,s11q10,s11q10_a,crowdindex_room,improved_water,improved_sanitation,LCS_index,asset_idx,hh_fcon,hh_nfcon,hh_con,hh_con2011,hh_con2011_pd,pline_ipl,poorIPL,pgi,spg,weight,popweight
"3497",5,5,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field","Yes","Fire","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Agree","Disagree","Disagree","Strongly agree","Strongly disagree","Agree","Agree","Yes","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-1.2295018,4415.396,227.40511,4642.8013,82.158623,2.7011054,1.9,"Non-poor",0,0,5.5571685,27.785843
"3499",4,4,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Ventilated Improved Pit latrine (VIP)","Yes","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Strongly agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","Yes",,"More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Emergency",-.87213391,1561.7758,462.32193,2024.0977,35.818264,1.1775868,1.9,"Poor",.41036975,.16840333,5.5571685,22.228674
"3500",7,7,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Fire","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","No","Yes",,"No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Stress",-1.2295018,1865.2916,1689.0377,3554.3293,62.897118,2.0678504,1.9,"Non-poor",.03359344,.00112852,5.5571685,38.900181
"3503",7,7,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Strongly agree","Agree","Agree","Strongly agree","Agree","Neither agree nor disagree","Strongly disagree","Disagree","No","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","Not applicable","Yes",,"No","No, because I did not have this asset to sell.","Yes",,"No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","Yes",,"More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Emergency",-.53117871,3536.2009,839.03735,4375.2383,77.423851,2.5454416,1.9,"Non-poor",0,0,5.5571685,38.900181
"3507",9,9,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","Pit latrine with slab","Yes","Fire","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Strongly disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Yes","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Food Secure",-.53117871,753.63245,410.97803,1164.6105,20.608849,.67755121,1.9,"Poor",.64956391,.42193326,5.5571685,50.014515
"3508",5,5,0,0,0,0,"Village 3","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Agree","Agree","No","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","2 - 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-.87213391,5163.0093,1595.5295,6758.5386,119.59854,3.9320068,1.9,"Non-poor",0,0,5.5571685,27.785843
"3509",9,7,2,0,0,0,"Village 3","Yes",2,3,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","Pit latrine with slab","Yes","Solar Energy","No",0,"No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Yes","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","Yes",,"No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","improved sanitation","Stress",-.40683225,1373.0509,260.92685,1633.9778,28.914736,.95062143,1.9,"Poor",.50660461,.25664824,5.5571685,50.014515
"3512",7,7,0,0,0,0,"Village 3","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","No facility / Bush / Field",,"None","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Disagree","No","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No",,"No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-.87213391,1757.8567,168.05731,1925.9139,34.080811,1.120465,1.9,"Poor",.4107821,.16874193,5.5571685,38.900181
"3516",6,6,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","Pit latrine with slab","Yes","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Neither agree nor disagree","Agree","Agree","Strongly agree","Neither agree nor disagree","Agree","Agree","Disagree","No","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","Yes",,"No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Stress",-1.2295018,1484.2467,384.7175,1868.9642,33.073036,1.0873326,1.9,"Poor",.44823021,.20091031,5.5571685,33.34301
"3523",14,14,0,0,0,0,"Village 3","Yes",2,2,"Dung","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","Fire","No",0,"No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","No","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Food Secure",.55279469,404.05994,368.88364,772.94354,13.677945,.44968584,1.9,"Poor",.77241123,.59661913,5.5571685,77.800362
"3527",4,4,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","None","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Strongly disagree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Yes","Yes",,"No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","Not applicable","Yes",,"More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Emergency",-1.2295018,7342.877,170.35896,7513.2358,132.9536,4.3710771,1.9,"Non-poor",0,0,5.5571685,22.228674
"3529",5,5,0,0,0,0,"Village 3","Yes",1,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","No facility / Bush / Field",,"None","No",0,"No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Yes","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",1.3681021,1300.3905,120.6715,1421.062,25.146994,.82675052,1.9,"Poor",.56778222,.32237664,5.5571685,27.785843
"3531",7,7,0,0,0,0,"Village 3","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","Agree","Strongly disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-.87213391,2202.2507,193.88745,2396.1382,42.401863,1.3940338,1.9,"Poor",.323688,.10477392,5.5571685,38.900181
"3532",13,13,0,0,0,0,"Village 3","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Solar Energy","No",0,"No","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","Agree","Neither agree nor disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Yes","No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","Yes",,"No","Not applicable","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Stress",3.0707343,3527.2576,1021.3985,4548.6563,80.492638,2.6463335,1.9,"Non-poor",0,0,5.5571685,72.243187
"3535",7,7,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine without slab / Open pit",,"None","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Disagree","Yes","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","Yes",,"No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Stress",-1.2295018,1161.0406,455.64169,1616.6823,28.608675,.94055921,1.9,"Poor",.52015173,.27055782,5.5571685,38.900181
"3538",4,4,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Neither agree nor disagree","Yes","No","No, because I did not have this asset to sell.","No","Not applicable","No","Not applicable","No","Not applicable","Yes",,"No","Not applicable","No","Not applicable","Yes",,"Yes",,"No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Emergency",-.07323928,7807.7598,832.14417,8639.9033,152.89102,5.0265541,1.9,"Non-poor",0,0,5.5571685,22.228674
"3543",9,9,0,0,0,0,"Village 3","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Solar Energy","No",0,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","No","No","No, because I did not have this asset to sell.","Yes",,"No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Crisis",-1.2403278,1090.1575,449.14325,1539.3007,27.239338,.89553982,1.9,"Poor",.53378975,.28493151,5.5571685,50.014515
"3545",7,7,0,0,0,0,"Village 3","Yes",1,1,"Dung","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","No facility / Bush / Field","No","None","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Disagree","Agree","No","No","Not applicable","No","No, because it wasn't necessary.","Yes",,"Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Crisis",-.87213391,2045.4222,119.33052,2164.7527,38.307285,1.2594175,1.9,"Poor",.34821019,.12125033,5.5571685,38.900181
"3546",4,4,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Paraffin / pressure lamp","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly disagree","Agree","Disagree","Strongly agree","Strongly disagree","Disagree","Agree","No","Yes",,"No","No, because it wasn't necessary.","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Emergency",-1.2295018,4339.2891,592.03687,4931.3257,87.264328,2.8689644,1.9,"Non-poor",0,0,5.5571685,22.228674
"3556",9,9,0,0,0,0,"Village 3","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","Paraffin / pressure lamp","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Yes","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"No","No, because it wasn't necessary.","Yes",,"Yes",,"Yes",,"More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Emergency",-.87213391,1698.7599,323.35858,2022.1184,35.783241,1.1764352,1.9,"Poor",.38433999,.14771722,5.5571685,50.014515
"3557",5,5,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Yes","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Food Secure",-1.2295018,2186.1531,452.4126,2638.5657,46.691841,1.5350742,1.9,"Poor",.20978038,.04400781,5.5571685,27.785843
"3571",1,1,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine without slab / Open pit",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Yes","No","Not applicable","No","Not applicable","No","Not applicable","Yes",,"No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","1 - 2 Individuals Per Room","Improved drinking water","unimproved sanitation","Stress",-.87213391,15205.565,1084.3407,16289.906,288.26483,9.4771996,1.9,"Non-poor",0,0,5.5571685,5.5571685
"3575",7,7,0,0,0,0,"Village 3","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field","Yes","Solar Energy","No",0,"No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Strongly agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","No","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-.40124556,1724.6371,805.60303,2530.24,44.774918,1.4720521,1.9,"Poor",.25579843,.06543284,5.5571685,38.900181
"3576",6,6,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Strongly agree","Agree","Agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Yes","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","Yes",,"More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Emergency",-.87213391,1435.0262,815.58057,2250.6067,39.82655,1.309366,1.9,"Poor",.37217164,.13851173,5.5571685,33.34301
"3581",8,8,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Other","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Disagree","Strongly agree","Disagree","Agree","Strongly disagree","Agree","Strongly agree","Yes","No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"No","Not applicable","No","No, because it wasn't necessary.","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Stress",-.87213391,3402.1577,667.74945,4069.9072,72.020737,2.367805,1.9,"Non-poor",0,0,5.5571685,44.457348
"3582",1,1,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","Other","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Neither agree nor disagree","Agree","Strongly agree","Agree","Strongly disagree","Strongly agree","Agree","No","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","1 - 2 Individuals Per Room","Improved drinking water","improved sanitation","Stress",-.87213391,18193.539,1141.5696,19335.107,342.15247,11.248848,1.9,"Non-poor",0,0,5.5571685,5.5571685
"3587",5,5,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Solar Energy","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","No","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","Not applicable","No","Not applicable","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-.87213391,2372.1855,633.1759,3005.3613,53.182625,1.7484698,1.9,"Poor",.11177842,.01249442,5.5571685,27.785843
"3592",10,5,5,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Stone with lime / cement","Public tap / Stand pipe","Yes","Pit latrine with slab","No","None","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Neither agree nor disagree","Agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Agree","Strongly agree","No","No","No, because I did not have this asset to sell.","No","Not applicable","Yes",,"Yes",,"No","No, because I did not have this asset to sell.","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Crisis",-.53117871,1665.3406,448.12582,2113.4663,37.399727,1.22958,1.9,"Poor",.376645,.14186145,5.5571685,55.571686
"3598",8,8,0,0,0,0,"Village 1","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","Fire","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Disagree","Disagree","Agree","Strongly disagree","Strongly agree","Strongly agree",,,"No","Yes",,"No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","Yes",,"More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Emergency",-.05682662,1184.5493,79.087814,1263.6371,22.361217,.73516333,1.9,"Poor",.62561411,.39139301,5.5571685,44.457348
"3600",8,8,0,0,0,0,"Village 1","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","Solar Energy","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Stress",.80878901,2219.1809,607.98743,2827.1685,50.029335,1.6448001,1.9,"Poor",.13719717,.01882306,5.5571685,44.457348
